intent,response
47. What is the school's policy on attendance and punctuality?,"Our school places great emphasis on attendance and punctuality. We believe that regular attendance is essential for students to fully participate in the educational experience, including important events and activities during assembly. We encourage all students to be present and on time, as assembly plays a significant role in teaching our students valuable morals and values. Late arrivals can disrupt the proceedings and impact the student's experience, so we kindly request parents to support us in ensuring their child arrives on time and attends school regularly."
48. How do I contact the school administration?,"For any inquiries or concerns, please don't hesitate to contact our administration office. You can reach us by phone at 08139060571, or email us at admin@evergreen.sch.ng. We're also active on social media, and you can follow us on Instagram at evergreenschools. We're committed to responding promptly and providing the support you need."
"49. My child is 4 years old, which class should they join?","For a 4-year-old child, the suitable class would likely be Reception 2 (also known as Nursery 2), as our Reception 2 class is designed for children aged 4-5 years. However, please note that all children above 2 years undergo a compulsory evaluation by the school for proper placement, so we'd be happy to assess your child to confirm the best fit."
50. What's the class for a 6-year-old?,"For a 6-year-old child, the suitable class would likely be Year 1 (also known as Primary 1), as our Year 1/Primary 1 class is designed for children aged 5-6 years. However, please note that all children above 2 years undergo a compulsory evaluation by the school for proper placement, so we'd be happy to assess your child to confirm the best fit."
"51. My child is going to be 8 years old, which year should they be in?","For an 8-year-old child, the suitable class would likely be Year 3 (also known as Primary 3), as our Year 3/Primary 3 class typically includes children around this age. However, please note that all children above 2 years undergo a compulsory evaluation by the school for proper placement, so we'd be happy to assess your child to confirm the best fit."
52. Which class is suitable for a 2.5-year-old?,"For a 2.5-year-old child, the suitable class would likely be Preschool 2, as our Preschool 2 class is designed for children aged 2.5-3 years. However, please note that all children above 2 years undergo a compulsory evaluation by the school for proper placement, so we'd be happy to assess your child to confirm the best fit."
"53. My child will be 10 years old, which year should they join?","For a 10-year-old child, the suitable class would likely be Year 5 (also known as Primary 5), as our Year 5/Primary 5 class typically includes children around this age. However, please note that all children above 2 years undergo a compulsory evaluation by the school for proper placement, so we'd be happy to assess your child to confirm the best fit."
54. What's the age range for Reception 1?,"Our Reception 1 (also known as Nursery 1) class is designed for children aged 3-4 years. However, please note that all children above 2 years undergo a compulsory evaluation by the school for proper placement, so we'd be happy to assess your child to confirm the best fit."
"55. My child is 5 years old, can they join Year 1?","Yes, our Year 1 (also known as Primary 1) class is designed for children aged 5-6 years, so your child would likely be a good fit. However, please note that all children above 2 years undergo a compulsory evaluation by the school for proper placement, so we'd be happy to assess your child to confirm the best fit."
56. Which class is best for a 3-year-old?,"For a 3-year-old child, the suitable class would likely be Reception 1 (also known as Nursery 1), as our Reception 1 class is designed for children aged 3-4 years. However, please note that all children above 2 years undergo a compulsory evaluation by the school for proper placement, so we'd be happy to assess your child to confirm the best fit."
"57. My child is moving to Year 3, how old are they likely to be?","Children in Year 3 (also known as Primary 3) are typically aged 7-8 years. However, please note that age requirements may vary slightly depending on the school's policies and the child's individual development. Our school conducts evaluations for proper placement, so we'd be happy to assess your child to confirm the best fit."
58. What's the class for a child aged 1.5 to 2 years?,"For a child aged 1.5 to 2 years, the suitable class would likely be Preschool 1. However, please note that all children above 2 years undergo a compulsory evaluation by the school for proper placement. Let's discuss further to confirm the best fit for your child."
59. Can my 7-year-old child join Year 2?,"Our Year 2 (also known as Primary 2) class typically includes children aged 6-7 years. Given your child's age, they might be more suited for Year 3. However, all children above 2 years undergo a compulsory evaluation by the school for proper placement, so we'd be happy to assess your child to confirm the best fit."
60. Which year should a 9-year-old child join?,"For a 9-year-old child, the suitable class would likely be Year 4 (also known as Primary 4) or Year 5, depending on their prior education and our school's specific policies. However, please note that all children above 2 years undergo a compulsory evaluation by the school for proper placement, so we'd be happy to assess your child to confirm the best fit."
"61. My child is 11 years old, which class should they be in?","For an 11-year-old child, the suitable class would likely be Year 6 (also known as Primary 6), as our Year 6/Primary 6 class typically includes children around this age. However, please note that all children above 2 years undergo a compulsory evaluation by the school for proper placement, so we'd be happy to assess your child to confirm the best fit."
62. What's the age range for Preschool 2?,"The age range for Preschool 2 is typically 2.5-3 years. However, please note that all children above 2 years undergo a compulsory evaluation by the school for proper placement, so we'd be happy to assess your child to confirm the best fit."
"63. My child will be 6 years old, can they join Year 1?","Our Year 1 (also known as Primary 1) class is designed for children aged 5-6 years. Given your child's age, they might be a good fit, but some schools have specific cut-off dates. However, please note that all children above 2 years undergo a compulsory evaluation by the school for proper placement, so we'd be happy to assess your child to confirm the best fit."
64. Which class is suitable for a child aged 4-5 years?,"For a child aged 4-5 years, the suitable class would likely be Reception 2 (also known as Nursery 2), as our Reception 2 class is designed for children in this age range. However, please note that all children above 2 years undergo a compulsory evaluation by the school for proper placement, so we'd be happy to assess your child to confirm the best fit."
"65. My child is 2 years old, which Preschool class should they join?","For a 2-year-old child, the suitable class would likely be Preschool 1, as our Preschool 1 class is designed for children around this age. However, please note that all children above 2 years undergo a compulsory evaluation by the school for proper placement, and we'd be happy to discuss the options and find the best fit for your child."
66. Can my child join Reception 2 if they're 4 years old?,"Our Reception 2 class is typically designed for children aged 4-5 years. Given your child's age, they might be a good fit. However, all children above 2 years undergo a compulsory evaluation by the school for proper placement, so we'd be happy to assess your child to confirm the best fit."
67. What's the class for a child aged 8-9 years?,"For a child aged 8-9 years, the suitable class would likely be Year 4 (also known as Primary 4), as our Year 4 class is designed for children around this age. However, please note that all children above 2 years undergo a compulsory evaluation by the school for proper placement, so we'd be happy to assess your child to confirm the best fit."
"68. My child is 3.5 years old, which class should they join?","For a 3.5-year-old child, the suitable class would likely be Reception 1, as our Reception 1 class is designed for children around this age. However, please note that all children above 2 years undergo a compulsory evaluation by the school for proper placement, so we'd be happy to assess your child to confirm the best fit."
69. Which class is suitable for a 1.5-year-old child?,"For a 1.5-year-old child, the suitable class would likely be Preschool 1. We'd be happy to discuss the options and find the best fit for your child."
"70. My child is 9 years old, can they join Year 5?","Our Year 5 (also known as Primary 5) class typically includes children aged 9-10 years. Given your child's age, they might be a good fit. However, all children above 2 years undergo a compulsory evaluation by the school for proper placement, so we'd be happy to assess your child to confirm the best fit."
71. What's the age range for Year 2?,"The age range for Year 2 (also known as Primary 2) is typically 6-7 years. However, please note that all children above 2 years undergo a compulsory evaluation by the school for proper placement, so we'd be happy to assess your child to confirm the best fit."
"72. My child is 7 years old, which year should they join?","For a 7-year-old child, the suitable class would likely be Year 3 (also known as Primary 3). However, please note that all children above 2 years undergo a compulsory evaluation by the school for proper placement, so we'd be happy to assess your child to confirm the best fit."
73. Which Preschool class is suitable for a child aged 2.5-3 years?,"For a child aged 2.5-3 years, the suitable class would likely be Preschool 2. However, please note that all children above 2 years undergo a compulsory evaluation by the school for proper placement, so we'd be happy to assess your child to confirm the best fit."
