intent,response
39. How do I get an invoice for my payment?,"You can contact the school administration, and they will provide you with a bill that includes a detailed breakdown of the fees, payment due dates, and amounts."
40. How do I know what fees are applicable to my child’s class?,"You can contact the school administration, and they will provide you with a bill that includes a detailed breakdown of the fees, payment due dates, and amounts."
41. Can I make payments via mobile banking?,We accept payment via bank transfer to our corporate school account with account name: Evergreen Royal Private School. Please contact our admissions office for the account details.
42. What is the deadline for fee payment?,"It's best to contact the school administration for specific fee payment deadlines, as they can provide you with the most up-to-date information."
43. Can I get a refund if I withdraw my child?,Fees are non-refundable. It's best to contact the school administration to discuss any specific circumstances or peculiarities that may apply to your situation.
44. How do I get a fee statement?,"You can contact the school administration, and they will provide you with a bill that includes a detailed breakdown of the fees, payment due dates, and amounts."
45. Are there any fees for extracurricular activities?,"Yes, some extracurricular activities may have fees, specifically those that involve external instructors or facilities, such as certain sports with external coaches, and swimming lessons using an external pool. These fees would be separate from regular school fees. It's best to check with the school administration for specific details on extracurricular activity fees."
46. Can I pay fees in a different currency?,We accept payment via bank transfer to our corporate school account with account name: Evergreen Royal Private School. Please contact our admissions office for the account details.
47. How do I report a payment issue?,"To report a payment issue, please contact the school administration directly. They will assist you in resolving the issue promptly."
48. Can I get a discount for siblings?,Discounts on fees are available for parents with 3 children and more enrolled in the school. You're welcome to visit the admin office to discuss your specific needs and see if any arrangements can be made.
49. What happens if I lose my payment receipt?,"If you lose your payment receipt, you can contact the school administration, and they will provide you with a duplicate receipt or guide you on the next steps to obtain one."
50. Can I make payments via direct debit?,We accept payment via bank transfer to our corporate school account with account name: Evergreen Royal Private School. Please contact our admissions office for the account details.
